loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
1,11 Com,b,11 Com b,93.37,4742.00,2.70,19.00,2014-05-14,2007,Xinglong Station,3
2,11 UMi,b,11 UMi b,125.72,4213.00,2.78,29.79,2018-09-06,2009,Thueringer Landessternwarte Tautenburg,3
3,14 And,b,14 And b,75.59,4813.00,2.20,11.00,2014-05-14,2008,Okayama Astrophysical Observatory,3
4,14 Her,b,14 Her b,17.94,5338.00,0.90,0.93,2018-09-06,2002,W. M. Keck Observatory,3
5,16 Cyg B,b,16 Cyg B b,21.15,5750.00,1.08,1.13,2018-09-06,1996,Multiple Observatories,3
6,18 Del,b,18 Del b,76.38,4979.00,2.30,8.50,2014-05-14,2008,Okayama Astrophysical Observatory,3
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,139.67,4060.00,0.85,,2015-04-01,2008,Gemini Observatory,3
8,24 Boo,b,24 Boo b,96.25,4893.00,0.99,10.64,2018-04-26,2018,Okayama Astrophysical Observatory,3
9,24 Sex,b,24 Sex b,72.21,5098.00,1.54,4.90,2014-05-14,2010,Lick Observatory,3
10,24 Sex,c,24 Sex c,72.21,5098.00,1.54,4.90,2014-05-14,2010,Lick Observatory,3
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,33.86,3530.00,0.40,,2014-05-14,2013,W. M. Keck Observatory,3
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,40.09,3064.00,0.11,0.28,2015-05-14,2015,Cerro Tololo Inter-American Observatory,3
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,120.42,,0.02,,2014-05-14,2010,Hubble Space Telescope,3
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,64.42,,0.02,,2014-05-14,2004,Paranal Observatory,3
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,400.77,,0.48,,2015-06-04,2015,Kepler,3
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,33.12,2300.00,0.08,0.12,2014-05-14,2009,W. M. Keck Observatory,3
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,69.71,4045.00,0.60,,2016-11-10,2016,W. M. Keck Observatory,3
18,30 Ari B,b,30 Ari B b,44.71,6331.00,1.93,1.41,2018-09-06,2009,Thueringer Landessternwarte Tautenburg,3
19,4 UMa,b,4 UMa b,73.58,4415.00,1.23,18.11,2014-05-14,2006,Thueringer Landessternwarte Tautenburg,3
20,42 Dra,b,42 Dra b,90.86,4200.00,0.98,22.03,2014-05-14,2008,Thueringer Landessternwarte Tautenburg,3
21,47 UMa,b,47 UMa b,13.80,5892.00,1.03,1.23,2014-05-14,1996,Lick Observatory,3
22,47 UMa,c,47 UMa c,13.80,5892.00,1.03,1.23,2014-05-14,2001,Lick Observatory,3
23,47 UMa,d,47 UMa d,13.80,5892.00,1.03,1.23,2014-05-14,2009,Lick Observatory,3
24,51 Eri,b,51 Eri b,29.78,,1.75,,2019-07-11,2015,Gemini Observatory,3
25,51 Peg,b,51 Peg b,15.47,5793.00,1.12,1.20,2014-05-14,1995,Haute-Provence Observatory,3
26,55 Cnc,b,55 Cnc b,12.59,5196.00,0.91,0.94,2014-10-29,1996,Lick Observatory,3
27,55 Cnc,c,55 Cnc c,12.59,5196.00,0.91,0.94,2014-10-29,2004,McDonald Observatory,3
28,55 Cnc,d,55 Cnc d,12.59,5196.00,0.91,0.94,2014-10-29,2002,Lick Observatory,3
29,55 Cnc,e,55 Cnc e,12.59,5196.00,0.91,0.94,2019-01-31,2004,McDonald Observatory,3
30,55 Cnc,f,55 Cnc f,12.59,5196.00,0.91,0.94,2014-10-29,2007,Multiple Observatories,3
31,6 Lyn,b,6 Lyn b,54.74,4938.00,1.44,5.20,2018-12-06,2008,Okayama Astrophysical Observatory,3
32,61 Vir,b,61 Vir b,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
33,61 Vir,c,61 Vir c,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
34,61 Vir,d,61 Vir d,8.51,5577.00,0.94,0.96,2014-05-14,2009,Multiple Observatories,3
35,7 CMa,b,7 CMa b,19.82,4826.00,1.34,4.87,2019-10-24,2011,Anglo-Australian Telescope,3
36,7 CMa,c,7 CMa c,19.82,4826.00,1.34,4.87,2019-10-24,2019,Multiple Observatories,3
37,70 Vir,b,70 Vir b,17.91,5495.00,1.09,1.89,2018-12-06,1996,Lick Observatory,3
38,75 Cet,b,75 Cet b,83.15,4846.00,2.49,10.50,2015-09-03,2012,Okayama Astrophysical Observatory,3
39,8 UMi,b,8 UMi b,163.32,4847.00,1.44,10.30,2018-09-06,2015,Bohyunsan Optical Astronomical Observatory,3
40,81 Cet,b,81 Cet b,101.53,4785.00,2.40,11.00,2014-05-14,2008,Okayama Astrophysical Observatory,3
41,91 Aqr,b,91 Aqr b,44.08,4665.00,1.40,11.00,2014-05-14,2013,Lick Observatory,3
42,AB Pic,b,AB Pic b,50.12,,,,2014-05-14,2005,Paranal Observatory,3
43,AU Mic,b,AU Mic b,9.72,3700.00,0.50,0.75,2020-06-24,2020,Transiting Exoplanet Survey Satellite (TESS),3
44,BD+03 2562,b,BD+03 2562 b,1106.93,4095.00,1.14,32.35,2017-06-15,2017,Multiple Observatories,3
45,BD+14 4559,b,BD+14 4559 b,49.42,4864.00,0.49,0.86,2018-09-06,2009,McDonald Observatory,3
46,BD+15 2375,b,BD+15 2375 b,785.38,4649.00,1.08,8.95,2016-02-04,2016,Roque de los Muchachos Observatory,3
47,BD+15 2940,b,BD+15 2940 b,431.61,4796.00,1.10,14.70,2014-05-14,2013,McDonald Observatory,3
48,BD+20 2457,b,BD+20 2457 b,1670.85,4259.00,10.83,71.02,2018-09-06,2009,McDonald Observatory,3
49,BD+20 2457,c,BD+20 2457 c,1670.85,4259.00,10.83,71.02,2014-05-14,2009,McDonald Observatory,3
50,BD+20 274,b,BD+20 274 b,1383.85,4296.00,0.80,17.30,2015-09-18,2012,McDonald Observatory,3
51,BD+20 594,b,BD+20 594 b,180.39,5766.00,1.67,1.08,2018-04-26,2016,K2,3
52,BD+48 738,b,BD+48 738 b,892.17,4414.00,0.74,11.00,2015-08-13,2011,McDonald Observatory,3
53,BD+48 740,b,BD+48 740 b,678.94,4534.00,1.09,10.33,2018-02-01,2018,Multiple Observatories,3
54,BD+49 828,b,BD+49 828 b,447.59,4943.00,1.52,7.60,2015-02-05,2015,McDonald Observatory,3
55,BD-06 1339,b,BD-06 1339 b,20.28,4324.00,0.70,,2014-05-14,2013,La Silla Observatory,3
56,BD-06 1339,c,BD-06 1339 c,20.28,4324.00,0.70,,2014-05-14,2013,La Silla Observatory,3
57,BD-08 2823,b,BD-08 2823 b,41.38,4816.00,0.50,0.71,2018-09-06,2009,La Silla Observatory,3
58,BD-08 2823,c,BD-08 2823 c,41.38,4816.00,0.50,0.71,2014-05-14,2009,La Silla Observatory,3
59,BD-10 3166,b,BD-10 3166 b,84.61,5393.00,1.47,0.91,2018-09-06,2000,W. M. Keck Observatory,3
60,BD-11 4672,b,BD-11 4672 b,27.19,4475.00,0.57,0.52,2015-01-08,2014,La Silla Observatory,3
61,BD-13 2130,b,BD-13 2130 b,948.75,4545.00,2.12,19.17,2018-09-06,2007,La Silla Observatory,3
62,BD-17 63,b,BD-17 63 b,34.49,4714.00,0.74,0.69,2014-05-14,2008,La Silla Observatory,3
63,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,,580.50,0.02,,2014-05-14,2011,W. M. Keck Observatory,3
64,CHXR 73,b,CHXR 73 b,191.05,,0.35,,2014-05-14,2006,Hubble Space Telescope,3
65,CI Tau,b,CI Tau b,158.71,,0.90,,2019-06-27,2019,Multiple Observatories,3
66,CT Cha,b,CT Cha b,191.78,,,,2014-05-14,2007,Paranal Observatory,3
67,CoRoT-1,b,CoRoT-1 b,805.31,5950.00,0.95,1.11,2014-05-14,2008,CoRoT,3
68,CoRoT-10,b,CoRoT-10 b,341.65,5075.00,0.89,0.79,2014-05-14,2010,CoRoT,3
69,CoRoT-11,b,CoRoT-11 b,666.35,6440.00,1.27,1.37,2014-05-14,2010,CoRoT,3
70,CoRoT-12,b,CoRoT-12 b,1161.12,5675.00,1.08,1.12,2014-05-14,2010,CoRoT,3
71,CoRoT-13,b,CoRoT-13 b,1184.91,5945.00,1.09,1.01,2014-05-14,2010,CoRoT,3
72,CoRoT-14,b,CoRoT-14 b,1826.96,6035.00,1.13,1.21,2014-05-14,2010,CoRoT,3
73,CoRoT-16,b,CoRoT-16 b,745.96,5650.00,1.10,1.19,2014-05-14,2011,CoRoT,3
74,CoRoT-17,b,CoRoT-17 b,1214.51,5740.00,1.04,1.59,2014-05-14,2011,CoRoT,3
75,CoRoT-18,b,CoRoT-18 b,780.87,5440.00,0.95,1.00,2014-05-14,2011,CoRoT,3
76,CoRoT-19,b,CoRoT-19 b,807.99,6090.00,1.21,1.65,2014-05-14,2011,CoRoT,3
77,CoRoT-2,b,CoRoT-2 b,214.56,5625.00,0.96,0.91,2014-05-14,2008,CoRoT,3
78,CoRoT-20,b,CoRoT-20 b,864.31,,1.14,,2018-07-19,2011,CoRoT,3
79,CoRoT-20,c,CoRoT-20 c,864.31,,1.14,,2018-07-19,2018,Multiple Observatories,3
